player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Chris Pearson,58439,DI,NAVY,4,0,0,,0,0,237,,34.5,82.7,60.7,29.3,27.6,0,1,0,,40.0,2,0,0,0.0,0,0,0,0,0,143,143,89,54,0,0,0,0,41,102,0,2,3,0,1,0,0,0,
Mike Flowers,58440,DI,NAVY,3,0,0,,0,0,237,,42.5,78.8,54.4,38.9,27.8,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,70,70,31,39,0,0,0,0,32,38,0,1,1,0,0,0,0,0,
Gjemar Daniels,58442,DI,TEXAS ST,12,8,0,,0,0,314,60.9,60.6,87.6,58.1,59.8,73.4,0,3,0,,3.3,1,0,0,0.0,0,1,0,0,4,499,499,456,43,0,0,0,0,208,287,0,15,21,0,4,0,0,0,
Justis Borton,58443,DI,WYOMING,5,1,0,,0,0,351,,39.6,76.7,55.4,37.5,34.9,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,43,43,15,27,0,1,0,0,15,28,0,0,1,0,0,0,0,0,
Corey Stephens,58488,DI,ARIZONA ST,2,0,0,,0,0,110,,41.0,76.3,54.6,38.4,15.4,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,23,23,6,17,0,0,0,0,19,4,0,0,0,0,0,0,0,0,
Ryan Miller,58524,DI,BAYLOR,9,1,1,,0,0,118,59.0,51.7,60.9,55.1,51.3,77.7,0,1,0,,8.3,1,0,1,0.0,0,1,1,0,1,329,328,178,148,0,2,0,1,144,184,0,6,10,0,2,0,0,0,
Kyron Taylor,59826,DI,MARSHALL,4,0,0,,0,0,214,,57.5,75.6,58.0,57.4,69.7,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,39,39,6,33,0,0,0,0,25,14,0,0,1,0,1,0,0,0,
Jess Speight,59853,DI,MICHIGAN,4,3,0,,0,0,222,,62.5,76.7,63.0,60.7,73.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,40,40,12,28,0,0,0,0,13,27,0,1,1,0,1,0,0,0,
Amir Johnson,59912,DI,NEVADA,7,2,0,,0,0,239,62.7,65.2,79.9,64.5,60.2,62.9,1,4,0,,20.0,2,0,0,0.0,0,1,0,0,0,164,164,4,159,0,1,0,0,98,66,0,7,6,0,6,0,0,0,
Jordan Rhodes,60062,DI,S CAROLINA,1,0,0,,1,0,289,,47.3,71.7,,48.9,22.2,0,0,0,,100.0,1,0,1,0.0,0,0,0,0,0,10,10,4,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,
